GEOID,xcoord,ycoord
36005001600,-73.858076055634896,40.818848462893179
36005003800,-73.863342184513357,40.820293044295596
36005004600,-73.869154149246341,40.822364235396087
36005007700,-73.904432551753573,40.819745611854266
36005011502,-73.886079802656255,40.819693219810013
36005014701,-73.905318235823728,40.834228695264727
36005014900,-73.901487792502948,40.832601845720959
36005017901,-73.915186625968815,40.834834969138470
36005018302,-73.918753069502685,40.827910863879730
36005019500,-73.922517824622219,40.830481285226874
36005021301,-73.919991115871596,40.845489972322092
36005022101,-73.918136875294451,40.838280224227631
36005022703,-73.910507754524417,40.844042084234729
36005023800,-73.861086695239550,40.843711403203770
36005025000,-73.855700215293666,40.851706268410119
36005029500,-73.908575468493467,40.884917531305497
36005030200,-73.822059154143531,40.863769839310393
36005033600,-73.868885491075929,40.868489977707348
36005036502,-73.887836546258256,40.842389965443395
36005036901,-73.891881381754800,40.844345752530984
36005038900,-73.885164263362569,40.856548356181349
36005040400,-73.851348066237193,40.886169094406149
36005040800,-73.861709425328584,40.889744742043035
36005041800,-73.858456840813929,40.897119648707459
36005042901,-73.874492987455255,40.874745943328477
36005045800,-73.845202994094180,40.885855981966309
36061027700,-73.927470789547058,40.855386329606610
36061029100,-73.923934398905502,40.864311392270395
36061030300,-73.918672297456766,40.869188782000855
36005000100,-73.883568996727760,40.792735712563044
36005001900,-73.909621489509703,40.801216473029761
36005002702,-73.913763659773252,40.806448181941441
36005003700,-73.912216287933262,40.811430958699681
36005004800,-73.874306814361219,40.827005222422549
36005005902,-73.923406563014552,40.824127046534947
36005007500,-73.908635042969706,40.818850617034855
36005009800,-73.849500016114845,40.825447207146794
36005011900,-73.889608586200708,40.823281980317923
36005012701,-73.892338760182909,40.825636728485136
36005014400,-73.823333468930173,40.821311281069761
36005015200,-73.824887743601238,40.826373423417138
36005019700,-73.919977678504509,40.835206257697941
36005020100,-73.926906115007782,40.842155828909789
36005021100,-73.923508536353879,40.840447629821711
36005021601,-73.864821889228708,40.837551217513919
36005022701,-73.911029866856737,40.846845152020350
36005022902,-73.907134435499245,40.843802523812911
36005023501,-73.904575304268747,40.852143449043623
36005024501,-73.915462415571341,40.852875469418599
36005025100,-73.907756809260064,40.856542507682931
36005025700,-73.914676415553572,40.860041348152926
36005027300,-73.903178792560823,40.873974084893767
36005028300,-73.902658739484124,40.880542270400042
36005030100,-73.917986125337322,40.883322828320843
36005032300,-73.907592307013090,40.905359868011480
36005033500,-73.905239364566100,40.894224579389061
36005035600,-73.836080391825263,40.866906839494973
36005036501,-73.885627142720907,40.845449054491525
36005036902,-73.892978105834800,40.842554097328716
36005037504,-73.892596774449970,40.850340036499638
36005038600,-73.848372864129587,40.879645087851472
36005039300,-73.883151901845210,40.852492737489570
36005042000,-73.859855744529398,40.893026131465732
36005042800,-73.845692733600742,40.894514002351777
36005043000,-73.850652619913731,40.893454360410630
36005044800,-73.841296930588840,40.895474716676517
36005046000,-73.842502762744544,40.882483029809407
36061030700,-73.916658881641183,40.871242137793466
36081093900,-73.843021442507393,40.796002773107922
36081094700,-73.841343465130876,40.785576953288441
36081099100,-73.798964385398264,40.792242531139401
36081099900,-73.776631819025056,40.791459022810358
36005005002,-73.878435227651039,40.827363245035798
36005012102,-73.887956609347356,40.826017545646103
36005016600,-73.830175425528509,40.829552161584999
36005018101,-73.916111172843713,40.831607445309608
36005021501,-73.918233782315298,40.849472347523637
36005023100,-73.902465843815023,40.846221344950287
36005028700,-73.904655148070631,40.882715861921263
36005033202,-73.868941337251741,40.863381818759450
36005039800,-73.853469874456792,40.882697396687490
36005040600,-73.857004740651220,40.887950784100710
36005044400,-73.843728826842721,40.899542200056999
36061028300,-73.928708777642541,40.858901021757809
36005005600,-73.879057554381092,40.832627392501919
36005038200,-73.854856399949554,40.877318749794291
36005007300,-73.909387288335054,40.814675707091801
36005026400,-73.832083558775039,40.841782221984921
36005029700,-73.911819581229551,40.884988057654915
36005002300,-73.925798812974733,40.809072313220412
36005008500,-73.899089312175889,40.816279763939100
36005016900,-73.902729028154013,40.837704996447556
36005021002,-73.856480468182966,40.838473397418078
36005023702,-73.897322169142782,40.860638390433827
36005031400,-73.845578110140750,40.861562512164070
36061026700,-73.928821108567604,40.850092365277334
36081098700,-73.807114926651380,40.796569985535804
36005034400,-73.857129742734017,40.868365656946509
36005038500,-73.892463364881834,40.856308924875947
36005044200,-73.846263283769190,40.903861845264458
36005002400,-73.870499998892498,40.815007271671959
36005006400,-73.872201353231276,40.833020316383546
36005007600,-73.867643325429796,40.833378280647679
36005012101,-73.888913685221482,40.828274142407423
36005020502,-73.919475714662752,40.851380671637720
36005022404,-73.866299988799895,40.852744428065975
36005002800,-73.878217441033328,40.821594275246355
36005004001,-73.858335904926491,40.828273308560810
36005005200,-73.882421767245859,40.825624085901772
36005006000,-73.877982205596709,40.837703268038979
36005006300,-73.928414680764334,40.823817450308070
36005007400,-73.852860473307828,40.819471214448150
36005007900,-73.904858873628413,40.815814203691019
36005009200,-73.852127429637889,40.832335290963506
36005009600,-73.843658174769672,40.834473738245265
36005011800,-73.802395134578802,40.808885161827291
36005012500,-73.893526293217235,40.828644022805882
36005013200,-73.819306575894061,40.811849323925792
36005013800,-73.810224703886050,40.821725619247786
36005015700,-73.885454171656008,40.833000659179305
36005016200,-73.821757089084443,40.828850678046365
36005016400,-73.824826465286790,40.832254895784601
36005016500,-73.900223881392861,40.843078512886919
36005016700,-73.902182911302219,40.840483403906049
36005017701,-73.911177213020878,40.833195798121935
36005017702,-73.909540792388285,40.836186512015779
36005018102,-73.918138650470084,40.832264703703693
36005018301,-73.920811537769410,40.828638601461002
36005018400,-73.829256652144934,40.837403160944149
36005018900,-73.930218489745698,40.831715977431841
36005020501,-73.923636613465405,40.847432742083996
36005020900,-73.914882613859248,40.843093917587133
36005021602,-73.862248450261617,40.837192798442587
36005021800,-73.869776219722084,40.837400064159354
36005022200,-73.855224801938050,40.835683713063567
36005022901,-73.907218049323518,40.846097120858090
36005023301,-73.908750779479192,40.849548766299641
36005023502,-73.903446993165431,40.851321351273064
36005024400,-73.857542701637115,40.846243709533091
36005024800,-73.858394838043750,40.855349315329704
36005025500,-73.908962915236273,40.860537897851643
36005026500,-73.900249247662870,40.866197933356410
36005027401,-73.822607136464924,40.840486218488117
36005028500,-73.902603672438445,40.886409417724671
36005029301,-73.925426199561926,40.883844727917236
36005030000,-73.831206425550818,40.852167957191163
36005031900,-73.910855487784531,40.913996771170261
36061019200,-73.929366311331648,40.799581802876347
36005032400,-73.859732406844174,40.861332639804274
36005033000,-73.866029387982778,40.861651928234089
36005034300,-73.898131266205354,40.909641586584492
36005034500,-73.898699419773877,40.904062631859361
36005035100,-73.899973842834044,40.895076197136881
36005036700,-73.889312241353068,40.840763619431236
36005037300,-73.890149529408376,40.848571507696875
36005037900,-73.898771172368129,40.851601466438595
36005039200,-73.864732604351843,40.883284772471242
36005039400,-73.863362747350266,40.886490887193432
36005039600,-73.858955303059901,40.884423906192083
36005039700,-73.885323563452630,40.861855304204902
36005039901,-73.893642823858031,40.863516327005030
36005040302,-73.892193487542201,40.867853034481726
36005040304,-73.895187324200492,40.867669962830774
36005040501,-73.890913332702979,40.867138295350408
36061026900,-73.930968449392466,40.850555612449469
36061027900,-73.931635625340377,40.855822595398486
36061028500,-73.927989135304088,40.861538235827133
36005040702,-73.886999751353713,40.869142607394799
36005041100,-73.887139617778189,40.875579213400378
36005041300,-73.885179556411742,40.874093492013856
36005042100,-73.882736352951028,40.881465802322623
36005042600,-73.841919602336958,40.890838545339385
36005043100,-73.876696828339533,40.881938398665625
36005044901,-73.873366862797894,40.897515092509998
36005045102,-73.864233668157567,40.900456890878608
36005046202,-73.833855279884745,40.879146108269566
36061029300,-73.920121534507487,40.865925138869557
36061030900,-73.910293919646236,40.875823763763137
36081097300,-73.822708332930944,40.795406346924274
36005007100,-73.912972482859502,40.818095189159983
36005006800,-73.870492504743368,40.828963093550968
36005023704,-73.901907368705551,40.856266956759455
36005005400,-73.879781077794064,40.829897167969712
36005000400,-73.850823335565494,40.808428605595545
36005002000,-73.866095240387097,40.817580063486005
36005002701,-73.916353496917168,40.805074764448925
36005003100,-73.905693340006508,40.809895052148875
36005003500,-73.908683488937356,40.810976963175392
36005004100,-73.919408946274643,40.811385099969684
36005004200,-73.861892731282097,40.823918548083213
36005004400,-73.866509921146616,40.826452519659583
36005005001,-73.877850502898269,40.825000091127571
36005006100,-73.922660278225706,40.822254591459860
36005006200,-73.875513051020206,40.833267755809871
36005006700,-73.918173545786914,40.819500288625306
36005007000,-73.865622499803990,40.829814212125790
36005007200,-73.860662180326926,40.831057047766151
36005007800,-73.852701096715577,40.829118185713355
36005008300,-73.901837517964367,40.813671608107583
36005008600,-73.849805842150332,40.819879240535585
36005008900,-73.893917086464313,40.818568463662480
36005009300,-73.885748360149989,40.805686365117758
36005011000,-73.831849952065426,40.814834808461413
36005011700,-73.874725102653827,40.809153911582627
36005012300,-73.887367095508225,40.828465859873667
36005013100,-73.897914482547208,40.825970541560899
36005013300,-73.903655822794150,40.822913596324611
36005013500,-73.902136294973303,40.827127089905183
36005014702,-73.904555362089525,40.836504708843471
36005015100,-73.898485061506406,40.831082235043887
36005015500,-73.889988584507279,40.835522128301371
36005024100,-73.906190141454076,40.853141396379733
36005038800,-73.855359720826627,40.879594320371417
36005015900,-73.893552498179986,40.822367796809566
36005016100,-73.885014674913648,40.836831848085716
36005019400,-73.836068663430893,40.833495187720921
36005020000,-73.845548654756300,40.842794783489957
36005020400,-73.850848392363645,40.840861994562736
36005020601,-73.850542824530066,40.836649231512993
36005021001,-73.858277326916934,40.840797055082248
36005021200,-73.858996006619833,40.836129744778070
36005021502,-73.916694851374984,40.848058815553735
36005021900,-73.919524039015954,40.839799278263129
36005022000,-73.872280714985507,40.843491206717104
36005022300,-73.915087646451965,40.840524743834877
36005022401,-73.868508153985175,40.855016255147589
36005022702,-73.913250521712683,40.844521617449544
36005022800,-73.863537038090300,40.853490061586520
36005023000,-73.866080196665877,40.849262924374514
36005023302,-73.904813169253956,40.848209715131631
36005023600,-73.867205736306289,40.845035410898880
36005024300,-73.911505464247824,40.852426559654191
36005024600,-73.861156678958494,40.851662092819389
36005024700,-73.918505510902222,40.855441522892001
36005025200,-73.854949881470858,40.847097948830168
36005025400,-73.852477577208788,40.848498785532698
36005025600,-73.850183719221576,40.844397313678947
36005026601,-73.834146852006668,40.847464273367159
36005026701,-73.901183462143763,40.869346989601134
36005027402,-73.816910111995881,40.842872881596755
36005027700,-73.901458694113103,40.878457856726072
36005028600,-73.847765313069587,40.849174611000734
36005028800,-73.851477570887639,40.854252972541445
36005028900,-73.907345159060910,40.879588046689243
36005029302,-73.915870552342355,40.879309354487525
36005030701,-73.910557436219946,40.893246874019077
36005030900,-73.917805292594068,40.899575005127730
36005031600,-73.848724211974229,40.861970772475914
36005031800,-73.851627534133058,40.861890641968756
36005032600,-73.855549076167236,40.862226325679195
36005032800,-73.863130039290326,40.861736968128767
36005033400,-73.875486822785746,40.857835231832382
36005033700,-73.902583420719694,40.906243084488736
36005034000,-73.862923556942491,40.868441099719746
36005034800,-73.853070516511735,40.869447316118304
36005035000,-73.848255206471322,40.868520346607461
36005035900,-73.883379238746770,40.840193464994215
36005036000,-73.843119652250294,40.866840897619539
36005036800,-73.855934860713177,40.875288883086490
36005037000,-73.859015949954738,40.873090803682743
36005037400,-73.866691378992783,40.874578575764637
36005037800,-73.866640234628321,40.879770768730573
36005038000,-73.862416287723050,40.878087011093385
36005038100,-73.901151908988680,40.852035122860073
36005039000,-73.860754000932175,40.881233581551854
36005039100,-73.887136514035149,40.853128580132186
36005041500,-73.883553773214075,40.870107506007010
36005041900,-73.881689339761095,40.876875442431405
36005042200,-73.855280303910163,40.891096643638143
