geoid,xcoord,ycoord,tree_sample
36005001600,-73.8580760556349,40.8188484628932,3772.35855690502
36005003800,-73.8633421845134,40.8202930442956,3125.38778010946
36005004600,-73.8691541492463,40.8223642353961,2123.14937393577
36005007700,-73.9044325517536,40.8197456118543,2276.10974135518
36005011502,-73.8860798026563,40.81969321981,3066.51229942404
36005014701,-73.9053182358237,40.8342286952647,2327.86581351508
36005014900,-73.901487792503,40.832601845721,2283.45999871768
36005017901,-73.9151866259688,40.8348349691385,2323.91724068158
36005018302,-73.9187530695027,40.8279108638797,2361.04015891869
36005019500,-73.9225178246222,40.8304812852269,2235.77484031426
36005021301,-73.9199911158716,40.8454899723221,2242.89741745636
36005022101,-73.9181368752945,40.8382802242276,2227.04515727672
36005022703,-73.9105077545244,40.8440420842347,2104.86533278432
36005023800,-73.8610866952396,40.8437114032038,2287.27048698731
36005025000,-73.8557002152937,40.8517062684101,2554.54541360783
36005029500,-73.9085754684935,40.8849175313055,2025.18181187824
36005030200,-73.8220591541435,40.8637698393104,2831.38294040724
36005033600,-73.8688854910759,40.8684899777074,2207.5402801757
36005036502,-73.8878365462583,40.8423899654434,2441.02994497461
36005036901,-73.8918813817548,40.844345752531,2012.77207932118
36005038900,-73.8851642633626,40.8565483561814,1815.28172953743
36005040400,-73.8513480662372,40.8861690944062,3202.50894816765
36005040800,-73.8617094253286,40.889744742043,3022.3462209641
36005041800,-73.8584568408139,40.8971196487075,3773.42126226434
36005042901,-73.8744929874553,40.8747459433285,2133.96512380946
36005045800,-73.8452029940942,40.8858559819663,2978.62230007614
36061027700,-73.9274707895471,40.8553863296066,2452.09439997613
36061029100,-73.9239343989055,40.8643113922704,2259.7486791808
36061030300,-73.9186722974568,40.8691887820009,1803.78948354051
36005000100,-73.8835689967278,40.792735712563,3094.45820973838
36005001900,-73.9096214895097,40.8012164730298,2801.30286306173
36005002702,-73.9137636597733,40.8064481819414,2581.68019653927
36005003700,-73.9122162879333,40.8114309586997,2468.04154622281
36005004800,-73.8743068143612,40.8270052224226,2300.79129355902
36005005902,-73.9234065630146,40.824127046535,2414.16299298987
36005007500,-73.9086350429697,40.8188506170349,2276.10974135518
36005009800,-73.8495000161149,40.8254472071468,2876.53564359159
36005011900,-73.8896085862007,40.8232819803179,2393.95917042344
36005012701,-73.8923387601829,40.8256367284851,2211.86803853915
36005014400,-73.8233334689302,40.8213112810698,4114.38985909944
36005015200,-73.8248877436012,40.8263734234171,4854.90770519083
36005019700,-73.9199776785045,40.8352062576979,2227.04515727672
36005020100,-73.9269061150078,40.8421558289098,2286.13151719533
36005021100,-73.9235085363539,40.8404476298217,2052.09853617345
36005021601,-73.8648218892287,40.8375512175139,1817.28445162019
36005022701,-73.9110298668567,40.8468451520204,2196.78753962177
36005022902,-73.9071344354993,40.8438025238129,2104.86533278432
36005023501,-73.9045753042688,40.8521434490436,2042.00480217139
36005024501,-73.9154624155713,40.8528754694186,2025.50205363499
36005025100,-73.9077568092601,40.8565425076829,1859.12606023309
36005025700,-73.9146764155536,40.8600413481529,2040.26892858338
36005027300,-73.9031787925608,40.8739740848938,2215.79555080367
36005028300,-73.9026587394841,40.8805422704,2192.0519139097
36005030100,-73.9179861253373,40.8833228283208,2219.68217060885
36005032300,-73.9075923070131,40.9053598680115,
36005033500,-73.9052393645661,40.8942245793891,2165.6898123063
36005035600,-73.8360803918253,40.866906839495,2779.8410454554
36005036501,-73.8856271427209,40.8454490544915,2441.02994497461
36005036902,-73.8929781058348,40.8425540973287,2012.77207932118
36005037504,-73.89259677445,40.8503400364996,2000.21965605497
36005038600,-73.8483728641296,40.8796450878515,2964.66838659966
36005039300,-73.8831519018452,40.8524927374896,2166.29998919682
36005042000,-73.8598557445294,40.8930261314657,3130.97911804387
36005042800,-73.8456927336008,40.8945140023518,3223.43183936336
36005043000,-73.8506526199137,40.8934543604106,3806.34873002164
36005044800,-73.8412969305889,40.8954747166765,3223.43183936336
36005046000,-73.8425027627446,40.8824830298094,2748.45577166249
36061030700,-73.9166588816412,40.8712421377935,1952.0939985522
36081093900,-73.8430214425074,40.7960027731079,3518.58123336609
36081094700,-73.8413434651309,40.7855769532884,3507.92838398183
36081099100,-73.7989643853983,40.7922425311394,4441.40751656591
36081099900,-73.7766318190251,40.7914590228104,4385.02669982861
36005005002,-73.878435227651,40.8273632450358,2300.79129355902
36005012102,-73.8879566093474,40.8260175456461,2393.95917042344
36005016600,-73.8301754255285,40.829552161585,3599.37407898077
36005018101,-73.9161111728437,40.8316074453096,2484.34723702367
36005021501,-73.9182337823153,40.8494723475236,2205.94662021318
36005023100,-73.902465843815,40.8462213449503,1812.42032293978
