NTA,trees,lat,long
QN38,4985,40.7287569800782,-73.8021636036108
QN41,2872,40.734359350585,-73.7825867226811
QN42,6059,40.7423595900033,-73.7545328557666
QN43,6246,40.7335439760391,-73.725467990666
QN44,6814,40.7431911486807,-73.7096777808703
QN45,7302,40.7657293713572,-73.7379161078978
QN46,9780,40.7618911465757,-73.773978778818
QN47,2906,40.7808425447213,-73.7915018522677
QN48,5332,40.750877462275,-73.7877217431677
QN49,7620,40.7883651521614,-73.8142982059633
QN50,1996,40.7381878729559,-73.8921826602405
QN51,7133,40.7689649833198,-73.8088722265583
QN52,3247,40.7538538214937,-73.8078934279458
QN53,4260,40.6894163658075,-73.8556955512441
QN54,5101,40.6951542042168,-73.8325493188904
QN55,7321,40.6759101372326,-73.8185861458981
QN56,3244,40.6756647465167,-73.8479672175832
QN57,4627,40.6587233408948,-73.8435717218695
QN60,2024,40.707687356754,-73.8295333669318
QN61,4252,40.7049629418979,-73.7949244629915
QN62,3020,40.7428764200166,-73.8204210849801
QN63,2739,40.7474206915042,-73.9040659862067
QN66,4623,40.6751769416915,-73.7443192675968
QN68,1366,40.7558528474817,-73.9372845518375
QN70,4393,40.7615062799499,-73.9191463696221
QN71,1341,40.7709722272185,-73.9270761495228
QN72,5436,40.7749182956255,-73.906199743039
QN76,4815,40.6791286933686,-73.7914243374974
SI01,12969,40.5350119773051,-74.1779309457136
SI05,8446,40.6028243213284,-74.1516546743311
SI07,4954,40.6163996264655,-74.1294701542935
SI08,2505,40.6173206177565,-74.0863189751936
SI11,8216,40.5141293856853,-74.2371698006962
SI12,3776,40.6285058977384,-74.1585711029025
SI14,2133,40.5993419523347,-74.0766155404407
SI22,3970,40.6390004792846,-74.0982464627884
SI24,4823,40.5889317880033,-74.1380698428385
SI25,5675,40.5637912932529,-74.1257109500969
SI28,3084,40.6255092717315,-74.1413982310441
SI32,9251,40.5399775475127,-74.2073573244557
SI35,3539,40.6304674497824,-74.1056519167646
SI36,4952,40.588661119168,-74.0885077686632
SI37,3840,40.6185481049636,-74.0747260876016
SI45,5452,40.5727352657942,-74.1084000401137
SI48,6999,40.5506924250993,-74.1884666166724
SI54,10734,40.5513160353102,-74.1527338948277
